listing_id,title,price,area,bedrooms,bathrooms,location,purpose,down_payment,dp_ratio,price_note,rental_frequency,is_negotiable,is_verified,is_hot,has_payment_plan,is_off_plan,is_ready,badge_names,agency_name
89865,Furnished Apartment For Rent,400.0,87,1,1.0,"Life Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Zahrat AlMadain Company
82729,Spacious Apartment with Modern Design,159000.0,212,3,2.0,"Vana Towers, Erbil",For Sale,39750.0,0.25,(Down payment),,0,0,0,0,1,0,"installment, off_plan",Vana Towers Project
86113,Cozy Apartment in Tulip Towers,104522.0,95,1,1.0,"Tulip Towers, Erbil",For Sale,26131.0,0.25,(Down payment),,0,0,0,0,1,0,off_plan,Tulip Towers Project
72245,Newly Built Apartment in Erbil,108070.0,101,1,1.0,"English Tower, Erbil",For Sale,21614.0,0.2,(Down payment),,0,0,0,0,1,0,"installment, off_plan",English Tower by King Inssat
89193,Furnished Apartment in Roya Tower,600.0,165,2,2.0,"Roya Tower, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Golden Properties Company
75560,Modern 3-Bedroom Apartment for Sale,203072.0,267,3,2.0,"Alaska Towers, Erbil",For Sale,26600.0,0.131,(Down payment),,0,0,0,0,1,0,"installment, off_plan, video",Alaska Towers Project
65920,Modern Apartment in installment,134400.0,128,1,1.0,"London Towers, Erbil",For Sale,33600.0,0.25,(Down payment),,0,0,0,0,1,0,"verified, off_plan, three_sixty",London Towers Project
89868,House Opposite Garden,400000.0,200,4,3.0,"32 Park (Sarbasti), Erbil",For Sale,0.0,0.0,,,0,0,0,0,0,1,ready,Shkoy Sha Real Estate Company
89867,New House,265000.0,200,4,3.0,"32 Park (Sarbasti), Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,ready,Divine Real Estate Company
89866,Modern House,300000.0,200,4,4.0,"32 Park (Sarbasti), Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,ready,Shkoy Sha Real Estate Company
81449,Spacious 5 Bedroom House with Monthly Income,340000.0,400,5,3.0,"Hay Dhubat, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,ready,Mulkdar Real Estate Company
55861,Spacious Commercial Plot on 60m Street,2038500.0,755,0,,"60 Meter Street, Erbil",For Sale,0.0,0.0,,,0,0,0,0,0,0,,Mulkdar Real Estate Company
89864,Cozy 3-Bedroom Apartment for Rent,400.0,116,3,2.0,"Life Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Zahrat AlMadain Company
88112,Furnished Apartment For Rent,375.0,55,0,1.0,"Bakhtyary Twin Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Golden Properties Company
89862,Elegant High-Floor Residence,79560.0,104,1,1.0,"Vana Towers, Erbil",For Sale,19890.0,0.25,(Down payment),,0,0,0,0,1,0,"installment, off_plan",Jamana Real Estate Company
89861,Modern Apartment with 1 Bedroom,78520.0,104,1,1.0,"Vana Towers, Erbil",For Sale,19630.0,0.25,(Negotiable + Down payment),,1,0,0,0,1,0,"installment, off_plan",Jamana Real Estate Company
80933,Luxury Apartment,78000.0,93,1,1.0,"Asco International City, Erbil",For Sale,31000.0,0.397,(Down payment),,0,0,0,0,1,0,off_plan,Mulkdar Real Estate Company
89525,Modern Apartment with Stunning Views,500.0,97,1,1.0,"Boulevard, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Golden Properties Company
89736,Furnished Apartment For Rent,500.0,73,0,1.0,"Boulevard, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Golden Properties Company
88996,Furnished apartment in Erbil,700.0,97,1,1.0,"Boulevard, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Golden Properties Company
68343,12th Floor Apartment,57400.0,72,1,1.0,"Qaiwan Mirador, Erbil",For Sale,10332.0,0.18,(Down payment),,0,0,0,0,1,0,"installment, off_plan, video",Qaiwan Group Company
89858,Luxury House,900000.0,455,5,5.0,"Erbil Garden, Erbil",For Sale,450000.0,0.5,(Down payment),,0,0,0,0,0,1,ready,Jamana Real Estate Company
89860,House (125m²),67000.0,125,3,2.0,"Farmanbaran, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,ready,Bahar Real Estate Company
89856,Spacious 4-Bedroom House in 32 park,225000.0,250,4,4.0,"32 Park (Sarbasti), Erbil",For Sale,0.0,0.0,,,0,0,0,0,0,1,ready,Key Finder Real Estate Company
78470,Corner House Opposite Garden,197000.0,200,4,4.0,"Zaner City, Erbil",For Sale,142000.0,0.721,(Down payment),,0,0,0,0,0,1,ready,Mulkdar Real Estate Company
89859,Cozy Apartment in Prime Location,350.0,80,0,1.0,"Rami Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Jamana Real Estate Company
88917,Furnished Apartment For Rent,850.0,200,3,2.0,"Roya Tower, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Golden Properties Company
88558,One Bedroom Apartment in Cavalli Tower,600.0,99,1,1.0,"Cavalli Tower, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Shahan Company
84354,Modern Apartment for Sale,43000.0,65,1,1.0,"Atlantic City, Erbil",For Sale,6000.0,0.14,(Down payment),,0,0,0,0,1,0,"verified, first_owner, off_plan",The Atlantic
89857,Large Family House in Erbil,900000.0,455,5,5.0,"Erbil Garden, Erbil",For Sale,450000.0,0.5,(Down payment),,0,0,0,0,0,1,ready,Jamana Real Estate Company
89855,"Spacious House in Erbil, 5 Bedrooms",255000.0,250,5,4.0,"32 Park (Sarbasti), Erbil",For Sale,0.0,0.0,,,0,0,0,0,0,1,ready,Key Finder Real Estate Company
89854,New House,95000.0,150,4,3.0,"Sarbakhoyi, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,ready,Haji Aziz Real Estate
88095,Modern Furnished Apartment in Bakhtyary Twin Towers,400.0,55,0,1.0,"Bakhtyary Twin Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Golden Properties Company
89619,Modern 1 Bedroom Apartment in Rami Towers,500.0,105,1,1.0,"Rami Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Golden Properties Company
89637,Modern Apartment with Stunning View,500.0,80,0,1.0,"Rami Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Golden Properties Company
89629,Modern Furnished Apartment in Rami Towers,950.0,170,3,3.0,"Rami Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Golden Properties Company
89852,Modern Apartment with 2 Bedrooms,108090.0,133,2,2.0,"Unique Towers, Erbil",For Sale,17500.0,0.162,(Down + Second payment),,1,0,0,0,1,0,"installment, discount, off_plan",Divine Real Estate Company
89851,Modern 1-Bedroom Apartment in Rasan Towers,300.0,80,1,1.0,"Rasan Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Divine Real Estate Company
89850,New Apartment in Rasan Towers,300.0,75,1,1.0,"Rasan Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Divine Real Estate Company
87497,Modern House,405000.0,430,5,5.0,"Spanish Village, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,ready,Kryar Company Real Estate
83713,Cozy apartment in Erbil,300.0,84,1,1.0,"Wavey Avenue, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Kryar Company Real Estate
89842,Spacious Commercial Building in Tayrawa,1100000.0,450,6,5.0,"Tayrawa, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,ready,Kryar Company Real Estate
82206,Office for Rent,600.0,123,0,,"Empire Business Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,1,0,0,0,0,1,ready,Baghy Shaqlawa Real Estate Company - Erbil
89849,Furnished Apartment For Sale,175000.0,186,2,2.0,"Empire Wings, Erbil",For Sale,0.0,0.0,,,0,0,0,0,0,1,ready,Kryar Company Real Estate
43406,Two Floor House,222500.0,420,6,5.0,"Hiwa City, Erbil",For Sale,0.0,0.0,,,0,0,0,0,1,0,"new_price, off_plan",Khaki Gulan Real Estate
89847,Spacious house in Aram Village 2,280000.0,276,4,4.0,"Aram Village 2, Erbil",For Sale,0.0,0.0,,,0,0,0,0,0,1,ready,Kryar Company Real Estate
89841,Modern Apartment in Empire Pearl Towers,350.0,50,0,1.0,"Empire Pearl Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Remal Real Estate Company
89844,Furnished Apartment For Rent,600.0,59,0,1.0,"Cavalli Tower, Erbil",For Rent,0.0,0.0,(Monthly),monthly,1,0,0,0,0,1,ready,Million House Real Estate Company
89838,Modern 1 Bedroom Apartment for Sale,38500.0,80,1,1.0,"Rasan Towers, Erbil",For Sale,0.0,0.0,,,0,0,0,0,0,1,ready,Haji Yassin Real Estate Company
74108,House under Construction,149000.0,236,5,6.0,"Hiwa City, Erbil",For Sale,0.0,0.0,,,0,0,0,0,1,0,off_plan,Khaki Gulan Real Estate
89837,Cozy 3-Bedroom Apartment in Erbil,54500.0,115,3,2.0,"Rasan Towers, Erbil",For Sale,0.0,0.0,,,0,0,0,0,0,1,ready,Haji Yassin Real Estate Company
89836,Modern Apartment in Star Towers,400.0,77,1,1.0,"Star Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,1,0,0,0,0,1,ready,MIRAN Real Estate
80931,Modern House with 4 Bedrooms,280000.0,276,4,4.0,"Aram Village 2, Erbil",For Sale,0.0,0.0,,,0,0,0,0,0,1,ready,Kryar Company Real Estate
89846,Modern Apartment with Great Views,400.0,108,2,1.0,"Life Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Zahrat AlMadain Company
89848,Cozy 4-Bedroom House in Erbil,275000.0,276,4,4.0,"Aram Village 2, Erbil",For Sale,0.0,0.0,,,0,0,0,0,0,1,ready,Kryar Company Real Estate
83789,Modern Furnished Apartment in Erbil,400.0,87,1,1.0,"Life Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Zahrat AlMadain Company
89833,Studio Apartment,350.0,63,0,1.0,"Empire Wings, Erbil",For Rent,0.0,0.0,(Monthly),monthly,1,0,0,0,0,1,ready,Kryar Company Real Estate
89834,Spacious Family Home in Aram Village 2,280000.0,276,4,4.0,"Aram Village 2, Erbil",For Sale,0.0,0.0,,,0,0,0,0,0,1,ready,Kryar Company Real Estate
89829,Bright and airy apartment in prime location,450.0,105,1,1.0,"Rami Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Divine Real Estate Company
89831,Elegant Two-Bedroom Apartment for Rent,550.0,161,2,2.0,"Green World, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,MIRAN Real Estate
89830,Cozy Studio Apartment in Queen Tower,63000.0,63,0,1.0,"Queen Tower, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,ready,Divine Real Estate Company
89828,Bright Studio Apartment with Great Views,250.0,53,0,1.0,"Green World, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,MIRAN Real Estate
89827,Internal View Apartment,300.0,68,0,1.0,"Green World, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,MIRAN Real Estate
89826,Bright One Bedroom Apartment,400.0,84,1,1.0,"Green World, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,MIRAN Real Estate
89825,Furnished Apartment For Rent,550.0,94,1,1.0,"Empire Pearl Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,On Target Real Estate Company
89824,1BR Apartment in Empire Wings,450.0,86,1,1.0,"Empire Wings, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,On Target Real Estate Company
89845,Apartment (2+1),400.0,133,2,2.0,"Life Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Zahrat AlMadain Company
89823,Two Floor House,550.0,200,4,4.0,"32 Park (Sarbasti), Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,On Target Real Estate Company
89822,Apartment in Erbil with 2 Bedrooms,350.0,105,2,2.0,"Lalav Sun Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Baghy Khoshnawaty Real Estate co.
89820,"1 Bed Erbil Apartment, Empire Diamond",81500.0,97,1,1.0,"Empire Diamond, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,ready,Remal Real Estate Company
89821,Internal View Apartment,500.0,116,2,2.0,"Lalav Sun Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Baghy Khoshnawaty Real Estate co.
63786,VIP House,215000.0,210,4,4.0,"Hiwa City, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,ready,Khaki Gulan Real Estate
89818,Furnished Apartment For Rent,450.0,105,2,1.0,"Lalav Sun Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Baghy Khoshnawaty Real Estate co.
89817,Internal View Apartment,275.0,75,1,1.0,"Lalav Sun Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Baghy Khoshnawaty Real Estate co.
89814,Apartment (2+1),450.0,120,2,1.0,"Kore Tower 5, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Genova Real Estate Company
89813,House Opposite Garden,108000.0,106,3,3.0,"Shorsh, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,ready,Shkoy Sha Real Estate Company
89812,Cozy one-bedroom apartment with great view,350.0,77,1,1.0,"Wavey Avenue, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Remal Real Estate Company
89811,Commercial Building (101m²),700000.0,101,0,,"Bata Street, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,ready,Baghy Shaqlawa Real Estate Company - Erbil
89810,Modern 1-Bedroom Apartment in Empire Wings,450.0,86,1,1.0,"Empire Wings, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Jamana Real Estate Company
89839,Modern 2-Bedroom Apartment,51500.0,110,2,1.0,"Rasan Towers, Erbil",For Sale,0.0,0.0,,,0,0,0,0,0,1,ready,Haji Yassin Real Estate Company
89809,Spacious Villa in Erbil Garden,900000.0,455,5,5.0,"Erbil Garden, Erbil",For Sale,450000.0,0.5,(Down payment),,0,0,0,0,0,1,ready,Jamana Real Estate Company
89808,Spacious House in Erbil Garden,900000.0,455,5,5.0,"Erbil Garden, Erbil",For Sale,450000.0,0.5,(Down payment),,0,0,0,0,0,1,ready,Jamana Real Estate Company
89806,Spacious 5-Bedroom House in Erbil Garden,900000.0,455,5,5.0,"Erbil Garden, Erbil",For Sale,450000.0,0.5,(Down payment),,0,0,0,0,0,1,ready,Jamana Real Estate Company
74037,Apartment with 3 Bedrooms in Mini Slava,190000.0,220,3,2.0,"Mini Slava, Erbil",For Sale,142500.0,0.75,(Negotiable + Down payment),,1,0,0,0,0,1,"new_price, installment, ready",Mulkdar Real Estate Company
87714,Modern Duplex in Erbil,285636.0,238,3,2.0,"Tulip Towers, Erbil",For Sale,71409.0,0.25,(Down payment),,0,0,0,0,1,0,"installment, off_plan",Tulip Towers Project
72154,3 Bedroom Apartment in English Tower,199020.0,186,3,2.0,"English Tower, Erbil",For Sale,39804.0,0.2,(Down payment),,0,0,0,0,1,0,"installment, off_plan",English Tower by King Inssat
75558,Cozy Apartment in Erbil,84700.0,110,1,1.0,"Alaska Towers, Erbil",For Sale,15000.0,0.177,(Down payment),,0,0,0,0,1,0,"installment, off_plan, video",Alaska Towers Project
89804,Cozy Apartment in Erbil Boulevard,77000.0,74,0,1.0,"Boulevard, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,ready,Lata Domus
65673,Apartment (245m²),240100.0,245,3,3.0,"London Towers, Erbil",For Sale,60025.0,0.25,(Down payment),,0,0,0,0,1,0,"verified, off_plan, three_sixty",London Towers Project
79513,Farm (8500m²),280000.0,8500,2,2.0,"150m Street, Erbil",For Sale,0.0,0.0,,,0,0,0,0,0,1,"ready, video",Mulkdar Real Estate Company
89803,"Spacious house in Erbil, 200m²",185000.0,200,4,4.0,"32 Park (Sarbasti), Erbil",For Sale,0.0,0.0,,,0,0,0,0,0,1,"ready, video",Key Finder Real Estate Company
89802,Studio Apartment,400.0,74,0,1.0,"Boulevard, Erbil",For Rent,0.0,0.0,(Monthly),monthly,1,0,0,0,0,1,ready,Lata Domus
85342,Luxurious 4-Bedroom Apartment for Sale,249900.0,238,4,3.0,"Cavalli Tower, Erbil",For Sale,187425.0,0.75,(Down payment),,0,0,0,0,0,1,"installment, ready",Shahan Company
66598,Apartment (2+1),79560.0,102,2,1.0,"Qaiwan Mirador, Erbil",For Sale,31824.0,0.4,(Down + Second payment),,0,0,0,0,1,0,"installment, off_plan, video",Qaiwan Group Company
61450,Luxurious Villa with 10 Bedrooms in Waziran,7500000.0,1800,10,10.0,"Wazyiran, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,"new_price, ready, video",Mulkdar Real Estate Company
89801,Modern Apartment with Stunning Views,250.0,66,1,1.0,"Eskan Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Baghy Shaqlawa Real Estate Company - Erbil
89800,Cozy 3 Bedroom House in Erbil,75000.0,125,3,2.0,"Farmanbaran, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,ready,Mulkdar Real Estate Company
81443,Multiple Size Shops for Sale,200000.0,60,0,,"New Industrial Zone, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,1,0,"new_price, off_plan",Mulkdar Real Estate Company
89799,Modern apartment in Life Towers,300.0,73,1,1.0,"Life Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Zahrat AlMadain Company
89840,Modern 2 Bedroom Apartment,52000.0,110,2,1.0,"Rasan Towers, Erbil",For Sale,0.0,0.0,,,0,0,0,0,0,1,ready,Haji Yassin Real Estate Company
89719,Modern 2-Bedroom Apartment with Stunning View,500.0,127,2,2.0,"Empire Pearl Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Jamana Real Estate Company
84221,Spacious Apartment For Sale,65000.0,105,2,2.0,"Atlantic City, Erbil",For Sale,12000.0,0.185,(Down payment),,0,1,0,0,0,0,"verified, installment, first_owner",The Atlantic
89787,Studio Apartment,550.0,64,0,1.0,"Empire Wings, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Divine Real Estate Company
89797,High-floor apartment in Tulip Towers,109200.0,104,1,2.0,"Tulip Towers, Erbil",For Sale,27300.0,0.25,(Down payment),,0,0,0,0,1,0,off_plan,Jamana Real Estate Company
89796,Modern Apartment in London Towers,128600.0,118,1,2.0,"London Towers, Erbil",For Sale,70000.0,0.544,(Down + Second payment),,1,0,0,0,1,0,off_plan,Jamana Real Estate Company
89795,External View Apartment,400.0,75,1,1.0,"Wavey Avenue, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,MIRAN Real Estate
89794,Modern Studio for Rent in Erbil,350.0,46,0,1.0,"Wavey Avenue, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,MIRAN Real Estate
89793,Internal View Apartment,600.0,170,2,2.0,"Rami Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,MIRAN Real Estate
89792,Elegant Apartment in Empire Wings,600.0,92,1,1.0,"Empire Wings, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Lata Domus
89791,Furnished Apartment For Rent,400.0,48,0,1.0,"Empire Diamond, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Kryar Company Real Estate
89789,Furnished Apartment For Rent,500.0,80,0,1.0,"Rami Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,MIRAN Real Estate
89788,Modern 2 Bedroom Apartment in Kore Tower,400.0,118,2,1.0,"Kore Tower 5, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Genova Real Estate Company
80701,Mixed-Use Building in Prime Location,3000.0,80,0,,"New Langa Bazar, Erbil",For Rent,0.0,0.0,(Monthly),monthly,1,0,0,0,0,1,ready,Mulkdar Real Estate Company
89784,Modern Apartment with 3 Bedrooms,163500.0,209,3,2.0,"MRF Quattro Towers, Erbil",For Sale,0.0,0.0,,,0,0,0,0,0,1,ready,Haji Yassin Real Estate Company
82472,Elegant 4 Bedroom Home in Spanish Village,320000.0,384,4,5.0,"Spanish Village 2, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,1,0,off_plan,Mardy Shaqlawa Real Estate Company
86560,Modern House,210000.0,200,3,4.0,"Italian village 2, Erbil",For Sale,0.0,0.0,(Negotiable),,1,0,0,0,0,1,ready,Mardy Shaqlawa Real Estate Company
87379,VIP House,1100.0,276,4,,"Aram Village 2, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Mardy Shaqlawa Real Estate Company
89783,"Cozy 1 Bedroom Apartment, Eskan Towers",250.0,70,1,1.0,"Eskan Towers, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Baghy Shaqlawa Real Estate Company - Erbil
88649,Two Floor House,1000.0,242,4,5.0,"Aram Village 2, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Mardy Shaqlawa Real Estate Company
49678,Large showroom on 100 Meter Street,25000.0,3500,0,,"100 Meter Street, Erbil",For Rent,0.0,0.0,(Monthly),monthly,1,0,0,0,0,1,"new_price, ready",Mulkdar Real Estate Company
89782,"Spacious House in Erbil, Farmanbaran",145000.0,150,4,3.0,"Farmanbaran, Erbil",For Sale,0.0,0.0,,,0,0,0,0,0,1,ready,Haji Yassin Real Estate Company
89781,Spacious House in Farmanbaran,86500.0,125,4,3.0,"Farmanbaran, Erbil",For Sale,0.0,0.0,,,0,0,0,0,0,1,ready,Haji Yassin Real Estate Company
89774,Cozy Studio Apartment in Boulevard in Erbil,400.0,74,0,1.0,"Boulevard, Erbil",For Rent,0.0,0.0,(Monthly),monthly,0,0,0,0,0,1,ready,Divine Real Estate Company
