title,price,area,bedrooms,bathrooms,location,purpose,type,is_furnished,is_verified,is_negotiable,is_sold,has_payment_plan,rental_frequency,is_monthly,is_yearly,dp_ratio,has_agency,agency_name,price_note,is_hot,is_off_plan,is_ready,has_video,property_id
Cozy 2-Bedroom Apartment for Rent,425.0,125,2,2.0,"Lalav City, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Monthly),0,0,1,0,89953
Cozy Furnished Apartment in Lalav City,325.0,83,1,1.0,"Lalav City, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Monthly),0,0,1,0,89952
Cozy apartment in Lalav City,350.0,83,1,1.0,"Lalav City, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Monthly),0,0,1,0,89951
Modern Apartment in English Tower,93090.0,87,1,1.0,"English Tower, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.2,1,English Tower by King Inssat,(Down payment),0,1,0,0,69532
Furnished Apartment For Rent,325.0,83,1,1.0,"Lalav City, Erbil",For Rent,rent,1,0,1,0,0,monthly,1,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Monthly),0,0,1,0,89950
Cozy Apartment with Modern Amenities,325.0,83,1,1.0,"Lalav City, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Monthly),0,0,1,0,89949
"Retail space in Empire Square, Erbil",410000.0,82,0,,"Empire Square, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Jamana Real Estate Company,,0,0,1,1,89947
Modern Apartment in Empire Pearl Towers,275.0,50,0,1.0,"Empire Pearl Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Baghy Khoshnawaty Real Estate co.,(Monthly),0,0,1,0,89945
Cozy 2-Bedroom Apartment for Rent,400.0,125,2,1.0,"Life Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Zahrat AlMadain Company,(Monthly),0,0,1,0,88572
Modern 2 Bedroom Apartment for Rent,900.0,125,2,2.0,"Empire Wings, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Jamana Real Estate Company,(Monthly),0,0,1,0,89944
Cozy Apartment in Empire Pearl Towers,400.0,95,1,1.0,"Empire Pearl Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Adam Real Estate,(Monthly),0,0,1,0,89943
Charming Studio apartment with spacious layout,250.0,50,0,1.0,"Wavey Avenue, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Divine Real Estate Company,(Monthly),0,0,1,0,89942
Furnished Apartment For Rent,750.0,135,2,3.0,"Queen Tower, Erbil",For Rent,rent,1,0,1,0,0,monthly,1,0,0.0,1,Lata Domus,(Monthly),0,0,1,0,84841
Furnished Apartment For Rent,350.0,65,1,1.0,"MNW Towers, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Lata Domus,(Monthly),0,0,1,0,89540
One Bedroom Apartment in Empire Pearl Towers,400.0,50,0,1.0,"Empire Pearl Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Baghy Khoshnawaty Real Estate co.,(Monthly),0,0,1,0,81582
Modern 1-bedroom apartment for rent,250.0,90,1,1.0,"Lalav Sun Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Baghy Khoshnawaty Real Estate co.,(Monthly),0,0,1,0,78458
Modern 2BR Apartment,350.0,50,1,1.0,"Life Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Zahrat AlMadain Company,(Monthly),0,0,1,0,71644
Modern Apartment in Life Towers,650.0,133,2,2.0,"Life Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Zahrat AlMadain Company,(Monthly),0,0,1,0,89941
Apartment (2+1),450.0,108,2,2.0,"Wavey Avenue, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Baghy Khoshnawaty Real Estate co.,(Monthly),0,0,1,0,87920
2 BR Apartment in Life Towers,350.0,116,2,2.0,"Life Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Zahrat AlMadain Company,(Monthly),0,0,1,0,74998
Furnished Apartment For Rent,600.0,108,2,2.0,"Wavey Avenue, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,MIRAN Real Estate,(Monthly),0,0,1,0,87859
Furnished Apartment For Rent,800.0,108,1,2.0,"Cavalli Tower, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Shahan Company,(Monthly),0,0,1,0,88585
Apartment (120m²),96200.0,120,2,1.0,"Qaiwan Mirador, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.18,1,Qaiwan Group Company,(Down payment),0,1,0,1,66593
Luxury Apartment for Sale,47000.0,71,1,1.0,"Atlantic City, Erbil",For Sale,sale,0,1,0,0,0,,0,0,0.1489,1,The Atlantic,(Down payment),0,0,0,0,84412
VIP Apartment,82500.0,133,2,2.0,"Life Towers, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Zahrat AlMadain Company,(Negotiable),0,0,1,0,89940
2-Bedroom Apartment in Siraj Towers,138000.0,158,2,2.0,"Siraj Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.1957,1,Jamana Real Estate Company,(Down payment),0,1,0,0,87249
Commercial property for sale,850000.0,199,30,35.0,"Shorsh, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Haji Safeen Real Estate Company,(Negotiable),0,1,0,0,89937
Spacious Apartment in Cavalli Tower,165000.0,197,3,3.0,"Cavalli Tower, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Kryar Company Real Estate,(Negotiable),0,0,1,0,89935
Modern Furnished Apartment in Mini Slava,350.0,86,1,1.0,"Mini Slava, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Sakan Real Estate Company,(Monthly),0,0,1,0,73872
Modern 2 Bedroom Apartment in Erbil,600.0,114,2,2.0,"Mini Slava, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Sakan Real Estate Company,(Monthly),0,0,1,0,73838
Cozy 1-bedroom apartment in Rasan Towers,250.0,74,1,1.0,"Rasan Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Sakan Real Estate Company,(Monthly),0,0,1,0,89934
"Plot for Sale in Sebardan, Erbil",85000.0,253,0,,"Sebardan, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Omer Faqe Real Estate,,0,0,0,0,89932
Elegant House for Sale,282500.0,276,4,4.0,"Aram Village 2, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Kryar Company Real Estate,,0,0,1,0,89931
Furnished Apartment For Rent,500.0,63,0,1.0,"Empire Wings, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Kryar Company Real Estate,(Monthly),0,0,1,0,75192
Modern Studio Apartment in Erbil,75000.0,72,0,1.0,"Boulevard, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Divine Real Estate Company,(Negotiable),0,0,1,0,89930
Apartment (2+1),65000.0,160,2,2.0,"Eskan Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,,0,0,1,0,89928
Spacious apartment in Erbil Boulevard,215000.0,195,3,2.0,"Boulevard, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Divine Real Estate Company,(Negotiable),0,0,1,0,89927
VIP House,225000.0,250,4,3.0,"32 Park (Sarbasti), Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Divine Real Estate Company,(Negotiable),0,0,1,0,89926
Spacious Apartment in Cavalli Tower,1250.0,238,4,3.0,"Cavalli Tower, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Divine Real Estate Company,(Monthly),0,0,1,0,89925
Furnished Apartment For Rent,350.0,50,0,1.0,"Wavey Avenue, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Kryar Company Real Estate,(Monthly),0,0,1,0,89924
Prime Location Commercial Building,560000.0,240,0,,"Badawa, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Haji Yassin Real Estate Company,,0,0,1,0,89923
Modern 1-Bedroom Apartment for Rent,450.0,101,1,1.0,"Empire Pearl Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Monthly),0,0,1,0,89921
Modern 2 Bedroom Apartment in Erbil,400.0,116,2,2.0,"Life Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Zahrat AlMadain Company,(Monthly),0,0,1,0,89920
Furnished Apartment For Rent,750.0,126,2,2.0,"Empire Pearl Towers, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,MIRAN Real Estate,(Monthly),0,0,1,0,89919
Cozy Fully Furnished Apartment in Peshang Towers,300.0,98,1,1.0,"Peshang Towers, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Jamana Real Estate Company,(Monthly),0,0,1,1,89918
Furnished Apartment For Rent,700.0,97,1,1.0,"Boulevard, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Monthly),0,0,1,0,89916
Spacious family home for rent,800.0,500,4,4.0,"Slava City 2, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Monthly),0,0,1,0,89915
Furnished Apartment For Rent,375.0,67,0,1.0,"Mini Slava, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Monthly),0,0,1,0,89914
"Cafeteria on first floor, house on second",180000.0,300,0,,"Harir, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Haji Safeen Real Estate Company,(Negotiable),0,0,1,0,89892
Cozy Apartment in Roya Tower,300.0,85,1,1.0,"Roya Tower, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Newan Real Estate Company,(Monthly),0,0,1,0,89909
Furnished Apartment For Sale,95000.0,156,3,2.0,"Central Park, Erbil",For Sale,sale,1,0,1,0,0,,0,0,0.0,1,Dyar Real Estate Company,(Negotiable),0,0,1,1,89907
Cozy 1 Bedroom Apartment in Life Towers,250.0,50,1,1.0,"Life Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Zahrat AlMadain Company,(Monthly),0,0,1,0,89906
Apartment (65m²),43000.0,65,1,1.0,"Atlantic City, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.1395,1,The Atlantic,(Down payment),0,1,0,0,84498
Duplex Apartment,230115.0,159,1,1.0,"Tulip Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.25,1,Tulip Towers Project,(Down payment),0,1,0,0,86396
Modern Apartment with 2 Bedrooms,128440.0,169,2,2.0,"Vana Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.25,1,Vana Towers Project,(Down payment),0,1,0,0,82728
Cozy 1 Bedroom Apartment in English Tower,118770.0,111,1,1.0,"English Tower, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.2,1,English Tower by King Inssat,(Down payment),0,1,0,0,72334
Spacious Apartment in Erbil,128860.0,167,2,2.0,"Alaska Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.1032,1,Alaska Towers Project,(Down payment),0,1,0,1,75692
Apartment (216m²),213840.0,216,3,2.0,"London Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.25,1,London Towers Project,(Down payment),0,1,0,0,65504
Studio Apartment,600.0,59,0,1.0,"Cavalli Tower, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Shahan Company,(Monthly),0,0,1,0,89169
Stylish 2-Bedroom Apartment for Sale,77126.0,99,2,1.0,"Qaiwan Mirador, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.4,1,Qaiwan Group Company,(Down + Second payment),0,1,0,1,68344
Modern 1BR Apartment in Empire Wings,450.0,81,1,1.0,"Empire Wings, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Divine Real Estate Company,(Monthly),0,0,1,0,89905
Bright and Cozy Apartment for Rent,650.0,170,2,2.0,"Rami Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Divine Real Estate Company,(Monthly),0,0,1,0,89904
Cozy Apartment in Peshang Plus Towers,47000.0,98,1,1.0,"Peshang Plus Towers, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Divine Real Estate Company,(Negotiable),0,0,1,0,89903
Elegant 1-Bedroom Apartment for Rent,550.0,108,1,2.0,"Cavalli Tower, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Remal Real Estate Company,(Monthly),0,0,1,0,89902
Modern Apartment in installment,134400.0,128,1,1.0,"London Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.25,1,London Towers Project,(Down payment),0,1,0,0,65920
Cozy 1 Bedroom Apartment in Empire Pearl Towers,400.0,97,1,1.0,"Empire Pearl Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Remal Real Estate Company,(Monthly),0,0,1,0,89901
Exclusive Apartment in Cavalli Tower with Stunning Views,550.0,99,1,1.0,"Cavalli Tower, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Remal Real Estate Company,(Monthly),0,0,1,0,89900
Apartment For Rent in Royal Apartment,600.0,175,3,2.0,"Empire Royal Apartment, Erbil",For Rent,rent,0,0,1,0,0,monthly,1,0,0.0,1,Remal Real Estate Company,(Monthly),0,0,1,0,89899
Studio Apartment for Rent,300.0,80,0,1.0,"Rami Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Remal Real Estate Company,(Monthly),0,0,1,0,89898
Modern Apartment in Prime Location,58500.0,80,0,1.0,"Rami Towers, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Remal Real Estate Company,(Negotiable),0,0,1,0,89897
Prime Industrial Land Available,155000.0,10000,0,,"North Industrial Area, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Haji Safeen Real Estate Company,,0,0,1,0,89895
Furnished Apartment For Rent,650.0,105,1,1.0,"Rami Towers, Erbil",For Rent,rent,1,0,1,0,0,monthly,1,0,0.0,1,Upland Real Estate Company,(Monthly),0,0,1,0,89889
Modern Three-Bedroom Apartment with Stunning Views,600.0,148,3,2.0,"Wavey Avenue, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,MIRAN Real Estate,(Monthly),0,0,1,0,89883
Elegant Two-Bedroom Apartment for Rent,600.0,170,2,2.0,"Rami Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,MIRAN Real Estate,(Monthly),0,0,1,0,89882
Cozy Apartment in High-Rise Building,500.0,97,1,1.0,"Boulevard, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Divine Real Estate Company,(Monthly),0,0,1,0,89881
Spacious Family Home,258000.0,240,4,4.0,"Diplomati Safiran, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Kryar Company Real Estate,(Negotiable),0,0,1,0,89880
Corner House Opposite Garden,200000.0,230,4,4.0,"Zaner City, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Mulkdar Real Estate Company,(Negotiable),0,0,1,0,62506
Modern Apartment on the 44th Floor,105000.0,99,1,1.0,"Cavalli Tower, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Divine Real Estate Company,(Negotiable),0,0,1,0,87759
House Opposite Garden,270000.0,400,4,4.0,"Slava City 2, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Mulkdar Real Estate Company,(Negotiable),0,0,1,0,81444
Modern Apartment in Empire Pearl Towers,650.0,97,1,1.0,"Empire Pearl Towers, Erbil",For Rent,rent,0,0,1,0,0,monthly,1,0,0.0,1,Muhamad Noor Real Estate Company,(Monthly),0,0,1,0,89877
Furnished Apartment For Rent,400.0,56,1,1.0,"Life Towers, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Sakan Real Estate Company,(Monthly),0,0,1,0,89876
Elegant Furnished Residence for Sale,150000.0,200,2,2.0,"Shari Mamostayan, Erbil",For Sale,sale,1,0,1,0,0,,0,0,0.0,1,Mulkdar Real Estate Company,(Negotiable),0,0,1,1,53286
Spacious 2BR Apartment with Great View,160000.0,148,2,2.0,"Boulevard, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Adam Real Estate,,0,0,1,0,89875
Farm (2500m²),250000.0,2500,0,,"150m Street, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Mulkdar Real Estate Company,(Negotiable),0,0,1,1,86972
Spacious Family Home in Ganjan City,250000.0,350,4,3.0,"Ganjan City, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,MIRAN Real Estate,(Negotiable),0,0,1,0,89872
A Group of Shops For Sale,250000.0,200,0,,"Shari Bazrgani, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Mulkdar Real Estate Company,(Negotiable),0,0,1,1,52075
Spacious 3 Bedroom Apartment for Rent,1000.0,195,3,2.0,"Boulevard, Erbil",For Rent,rent,0,0,1,0,0,monthly,1,0,0.0,1,Divine Real Estate Company,(Monthly),0,0,1,0,89871
Apartment in Cash,103000.0,108,1,1.0,"Cavalli Tower, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Divine Real Estate Company,,0,0,1,0,89870
Furnished Apartment For Sale,67900.0,59,0,1.0,"Cavalli Tower, Erbil",For Sale,sale,1,0,0,0,0,,0,0,0.7942,1,Upland Real Estate Company,(Down payment),0,0,1,0,89869
Prime commercial land available For Sale,450000.0,536,0,,"150m Street, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Mulkdar Real Estate Company,(Negotiable),0,0,0,0,74681
Furnished Apartment For Rent,400.0,87,1,1.0,"Life Towers, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Zahrat AlMadain Company,(Monthly),0,0,1,0,89865
Spacious Apartment with Modern Design,159000.0,212,3,2.0,"Vana Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.25,1,Vana Towers Project,(Down payment),0,1,0,0,82729
Cozy Apartment in Tulip Towers,104522.0,95,1,1.0,"Tulip Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.25,1,Tulip Towers Project,(Down payment),0,1,0,0,86113
Newly Built Apartment in Erbil,108070.0,101,1,1.0,"English Tower, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.2,1,English Tower by King Inssat,(Down payment),0,1,0,0,72245
Furnished Apartment in Roya Tower,600.0,165,2,2.0,"Roya Tower, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Golden Properties Company,(Monthly),0,0,1,0,89193
Modern 3-Bedroom Apartment for Sale,203072.0,267,3,2.0,"Alaska Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.131,1,Alaska Towers Project,(Down payment),0,1,0,1,75560
House Opposite Garden,400000.0,200,4,3.0,"32 Park (Sarbasti), Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Shkoy Sha Real Estate Company,,0,0,1,0,89868
New House,265000.0,200,4,3.0,"32 Park (Sarbasti), Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Divine Real Estate Company,(Negotiable),0,0,1,0,89867
Modern House,300000.0,200,4,4.0,"32 Park (Sarbasti), Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Shkoy Sha Real Estate Company,(Negotiable),0,0,1,0,89866
Spacious 5 Bedroom House with Monthly Income,340000.0,400,5,3.0,"Hay Dhubat, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Mulkdar Real Estate Company,(Negotiable),0,0,1,0,81449
Spacious Commercial Plot on 60m Street,2038500.0,755,0,,"60 Meter Street, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Mulkdar Real Estate Company,,0,0,0,0,55861
Cozy 3-Bedroom Apartment for Rent,400.0,116,3,2.0,"Life Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Zahrat AlMadain Company,(Monthly),0,0,1,0,89864
Furnished Apartment For Rent,375.0,55,0,1.0,"Bakhtyary Twin Towers, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Golden Properties Company,(Monthly),0,0,1,0,88112
Elegant High-Floor Residence,79560.0,104,1,1.0,"Vana Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.25,1,Jamana Real Estate Company,(Down payment),0,1,0,0,89862
Modern Apartment with 1 Bedroom,78520.0,104,1,1.0,"Vana Towers, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.25,1,Jamana Real Estate Company,(Negotiable + Down payment),0,1,0,0,89861
Luxury Apartment,78000.0,93,1,1.0,"Asco International City, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.3974,1,Mulkdar Real Estate Company,(Down payment),0,1,0,0,80933
Modern Apartment with Stunning Views,500.0,97,1,1.0,"Boulevard, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Golden Properties Company,(Monthly),0,0,1,0,89525
Furnished Apartment For Rent,500.0,73,0,1.0,"Boulevard, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Golden Properties Company,(Monthly),0,0,1,0,89736
Furnished apartment in Erbil,700.0,97,1,1.0,"Boulevard, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Golden Properties Company,(Monthly),0,0,1,0,88996
12th Floor Apartment,57400.0,72,1,1.0,"Qaiwan Mirador, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.18,1,Qaiwan Group Company,(Down payment),0,1,0,1,68343
Luxury House,900000.0,524,5,5.0,"Erbil Garden, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.5,1,Jamana Real Estate Company,(Down payment),0,0,1,0,89858
House (125m²),67000.0,125,3,2.0,"Farmanbaran, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Bahar Real Estate Company,(Negotiable),0,0,1,0,89860
Spacious 4-Bedroom House in 32 park,225000.0,250,4,4.0,"32 Park (Sarbasti), Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Key Finder Real Estate Company,,0,0,1,0,89856
Corner House Opposite Garden,197000.0,200,4,4.0,"Zaner City, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.7208,1,Mulkdar Real Estate Company,(Down payment),0,0,1,0,78470
Cozy Apartment in Prime Location,350.0,80,0,1.0,"Rami Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Jamana Real Estate Company,(Monthly),0,0,1,0,89859
Furnished Apartment For Rent,850.0,200,3,2.0,"Roya Tower, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Golden Properties Company,(Monthly),0,0,1,0,88917
One Bedroom Apartment in Cavalli Tower,600.0,99,1,1.0,"Cavalli Tower, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Shahan Company,(Monthly),0,0,1,0,88558
